Gene name,Chromosome,Orientation,Left ORF border,Right ORF border,Left txn border,Right txn border,ORF length,Left UTR,Right UTR
SPBC12C2.09c ,chromosome2,+,2457715,2458689,2457344,2458879,974,371,190
SPBC12C2.10c,chromosome2,+,2452052,2456757,2452052,2457063,4705,0,306
SPBC12C2.11 ,chromosome2,-,2448491,2450854,NA,2450906,2363,NA,52
SPBC12C2.12c,chromosome2,+,2446698,2447606,2446557,2447655,908,141,49
SPBC12C2.13c,chromosome2,+,2444329,2445924,2444304,2446232,1595,25,308
SPBC12C2.14c,chromosome2,-,2471721,2472056,NA,NA,335,NA,NA
SPBC12D12.01,chromosome2,+,2304182,2305726,2303776,2306477,1544,406,751
SPBC12D12.02c,chromosome2,-,2305758,2306240,2304549,2306365,482,1209,125
SPBC12D12.03,chromosome2,+,2307436,2309436,2307408,2309504,2000,28,68
SPBC12D12.04c,chromosome2,-,2309787,2312837,2309389,2313020,3050,398,183
SPBC12D12.05c ,chromosome2,-,2314669,2315986,2314283,2315986,1317,386,0
SPBC12D12.06 ,chromosome2,+,2316168,2317408,2316043,2317478,1240,125,70
SPBC12D12.07c,chromosome2,-,2317984,2318431,2317534,2318520,447,450,89
SPBC12D12.08c,chromosome2,-,2319851,2320256,2319727,2320332,405,124,76
SPBC12D12.09 ,chromosome2,+,2313544,2314476,NA,NA,932,NA,NA
SPBC1306.01c ,chromosome2,-,1178080,1180392,1178002,1180478,2312,78,86
SPBC1306.02,chromosome2,+,1181044,1184104,1180919,1184218,3060,125,114
SPBC1347.01c ,chromosome2,-,4061351,4064158,NA,NA,2807,NA,NA
SPBC1347.02 ,chromosome2,+,4064557,4065642,4064548,4065868,1085,9,226
SPBC1347.03,chromosome2,+,4066294,4067342,NA,NA,1048,NA,NA
SPBC1347.04 ,chromosome2,+,4068030,4069073,4067792,4069112,1043,238,39
SPBC1347.05c ,chromosome2,-,4069285,4070540,4069166,4070710,1255,119,170
SPBC1347.06c,chromosome2,-,4071711,4073134,4071200,4073349,1423,511,215
SPBC1347.07 ,chromosome2,+,4073912,4074716,4073730,4074995,804,182,279
SPBC1347.08c ,chromosome2,-,4074840,4075721,4074226,4076043,881,614,322
SPBC1347.09 ,chromosome2,+,4077450,4078304,4077200,4078738,854,250,434
SPBC1347.10,chromosome2,+,4079439,4081220,4079071,4081220,1781,368,0
SPBC1347.11,chromosome2,+,4082207,4082527,4081874,4083139,320,333,612
SPBC1347.12 ,chromosome2,+,4083937,4085227,NA,NA,1290,NA,NA
SPBC1347.13c ,chromosome2,-,4085349,4086438,4085349,4086495,1089,0,57
SPBC1347.14c,chromosome2,-,4082279,4082644,NA,NA,365,NA,NA
SPBC1348.01,chromosome2,+,5451,6318,5386,6410,867,65,92
SPBC1348.02,chromosome2,+,7980,9014,7663,9271,1034,317,257
SPBC1348.03,chromosome2,+,10569,11009,NA,NA,440,NA,NA
SPBC1348.04,chromosome2,+,12176,12613,NA,NA,437,NA,NA
SPBC1348.05 ,chromosome2,+,13572,15029,NA,NA,1457,NA,NA
SPBC1348.06c,chromosome2,-,15981,16592,NA,NA,611,NA,NA
SPBC1348.07,chromosome2,+,19641,20383,NA,NA,742,NA,NA
SPBC1348.08c,chromosome2,-,22279,23529,NA,NA,1250,NA,NA
SPBC1348.09,chromosome2,+,24916,25626,NA,NA,710,NA,NA
SPBC1348.10c ,chromosome2,-,26287,28372,26155,28576,2085,132,204
SPBC1348.11,chromosome2,+,33231,34820,NA,NA,1589,NA,NA
SPBC1348.12,chromosome2,+,35223,36658,NA,NA,1435,NA,NA
SPBC1348.13,chromosome2,+,36901,37263,NA,NA,362,NA,NA
SPBC1348.14c ,chromosome2,-,38587,40143,NA,NA,1556,NA,NA
SPBC13A2.01c ,chromosome2,-,3399336,3400073,3397891,3400094,737,1445,21
SPBC13A2.02 ,chromosome2,+,3400603,3403014,3400603,3403173,2411,0,159
SPBC13A2.03 ,chromosome2,+,3403603,3405150,3403558,3405538,1547,45,388
SPBC13A2.04c ,chromosome2,-,3405836,3407692,3405650,3407793,1856,186,101
SPBC13E7.01,chromosome2,+,3037988,3040492,3037917,3040775,2504,71,283
SPBC13E7.02,chromosome2,+,3041802,3043403,3041498,3043403,1601,304,0
SPBC13E7.03c ,chromosome2,-,3043625,3045766,3042978,3046004,2141,647,238
SPBC13E7.04 ,chromosome2,+,3046873,3047355,3046833,3047540,482,40,185
SPBC13E7.05 ,chromosome2,+,3047980,3050477,3047927,NA,2497,53,NA
SPBC13E7.06,chromosome2,+,3050580,3051575,3050572,3051671,995,8,96
SPBC13E7.07,chromosome2,+,3052511,3053332,3052500,3053542,821,11,210
SPBC13E7.08c ,chromosome2,-,3053605,3055084,3053595,3055131,1479,10,47
SPBC13E7.09,chromosome2,+,3055475,3056456,3055411,3056566,981,64,110
SPBC13E7.10c,chromosome2,-,3056760,3058589,3056734,NA,1829,26,NA
SPBC13E7.11 ,chromosome2,+,3059132,3060028,3059132,3060304,896,0,276
SPBC13G1.01c ,chromosome2,-,3728252,3729288,NA,3729325,1036,NA,37
SPBC13G1.02 ,chromosome2,+,3729817,3731224,3729763,3731356,1407,54,132
SPBC13G1.03c,chromosome2,-,3731432,3732352,3731410,3732403,920,22,51
SPBC13G1.04c ,chromosome2,-,3732806,3733762,NA,NA,956,NA,NA
SPBC13G1.05,chromosome2,+,3734792,3736904,3734492,3737132,2112,300,228
SPBC13G1.06c ,chromosome2,-,3737080,3737467,3736581,3737520,387,499,53
SPBC13G1.07 ,chromosome2,+,3737657,3738727,3737574,3738785,1070,83,58
SPBC13G1.08c,chromosome2,-,3738975,3740933,3738975,3741365,1958,0,432
SPBC13G1.09 ,chromosome2,+,3742426,3743818,3742413,3744006,1392,13,188
SPBC13G1.10c ,chromosome2,-,3744068,3749875,3744065,3750000,5807,3,125
SPBC13G1.11 ,chromosome2,+,3750169,3750810,3750110,3751266,641,59,456
SPBC13G1.12 ,chromosome2,+,3752588,3753394,3752477,3753470,806,111,76
SPBC13G1.13,chromosome2,+,3754070,3755458,3753907,3755560,1388,163,102
SPBC13G1.14c ,chromosome2,-,3727332,3728176,3727012,NA,844,320,NA
SPBC13G1.15c,chromosome2,-,3741441,3741776,NA,NA,335,NA,NA
SPBC146.01 ,chromosome2,+,996843,1000080,996780,1000461,3237,63,381
SPBC146.02,chromosome2,+,1001011,1001802,NA,NA,791,NA,NA
SPBC146.03c,chromosome2,-,1002489,1006463,1002330,1006513,3974,159,50
SPBC146.04 ,chromosome2,+,1008018,1008596,1007997,1009045,578,21,449
SPBC146.05c,chromosome2,-,1008799,1009991,1008712,1009991,1192,87,0
SPBC146.06c,chromosome2,-,1010601,1012712,1010419,1013113,2111,182,401
SPBC146.07,chromosome2,+,1013555,1015108,1013275,1015146,1553,280,38
SPBC146.08c ,chromosome2,-,1015332,1015767,1015332,1015809,435,0,42
SPBC146.09c,chromosome2,-,1016000,1019002,1015972,1019054,3002,28,52
SPBC146.10,chromosome2,+,1019753,1020322,1019549,1021638,569,204,1316
SPBC146.11c,chromosome2,-,1020296,1021303,NA,NA,1007,NA,NA
SPBC146.12 ,chromosome2,+,1022455,1023855,1022300,1023947,1400,155,92
SPBC146.13c,chromosome2,-,1024233,1027930,1024057,1027962,3697,176,32
SPBC146.14c ,chromosome2,-,1029116,1031938,1028790,1031975,2822,326,37
SPBC14C8.01c,chromosome2,-,2203316,2204221,2202687,2204221,905,629,0
SPBC14C8.02 ,chromosome2,+,2205554,2206837,2205500,2207473,1283,54,636
SPBC14C8.03 ,chromosome2,+,2207732,2209012,2207693,2209340,1280,39,328
SPBC14C8.04 ,chromosome2,+,2210136,2211596,NA,2211761,1460,NA,165
SPBC14C8.05c,chromosome2,-,2212020,2213372,NA,NA,1352,NA,NA
SPBC14C8.06,chromosome2,+,2214438,2215618,2214402,2215724,1180,36,106
SPBC14C8.07c,chromosome2,-,2216140,2217873,2215948,2217977,1733,192,104
SPBC14C8.08c,chromosome2,-,2219430,2219978,NA,NA,548,NA,NA
SPBC14C8.09c,chromosome2,-,2219888,2220322,NA,NA,434,NA,NA
SPBC14C8.10 ,chromosome2,+,2220763,2221293,2220730,2222266,530,33,973
SPBC14C8.11c,chromosome2,-,2222650,2223060,NA,NA,410,NA,NA
SPBC14C8.12,chromosome2,+,2223772,2224256,2223644,2224687,484,128,431
SPBC14C8.13,chromosome2,+,2225388,2226143,2225299,NA,755,89,NA
SPBC14C8.14c,chromosome2,-,2226040,2228988,2226005,2229032,2948,35,44
SPBC14C8.15 ,chromosome2,+,2230228,2231782,2230193,2232009,1554,35,227
SPBC14C8.16c,chromosome2,-,2232164,2233111,2231784,2233111,947,380,0
SPBC14C8.17c,chromosome2,-,2234083,2235710,2233598,2235750,1627,485,40
SPBC14F5.01,chromosome2,+,4149764,4150600,4149689,4150785,836,75,185
SPBC14F5.02,chromosome2,+,4151559,4153193,4151501,4153208,1634,58,15
SPBC14F5.03c,chromosome2,-,4153391,4156594,4153263,4157112,3203,128,518
SPBC14F5.04c ,chromosome2,-,4158172,4159416,4157881,4159425,1244,291,9
SPBC14F5.05c,chromosome2,-,4162528,4163676,4162117,4163824,1148,411,148
SPBC14F5.06 ,chromosome2,+,4164659,4166877,4164647,4167123,2218,12,246
SPBC14F5.07 ,chromosome2,+,4167588,4171485,4167508,4171855,3897,80,370
SPBC14F5.08,chromosome2,+,4172642,4173838,4172346,4175591,1196,296,1753
SPBC14F5.09c,chromosome2,-,4173999,4175447,4173944,4175482,1448,55,35
SPBC14F5.10c ,chromosome2,-,4176252,4177712,4176032,4177957,1460,220,245
SPBC14F5.11c ,chromosome2,-,4178610,4180488,4178399,4180542,1878,211,54
SPBC14F5.12c,chromosome2,-,4180866,4182410,4180866,NA,1544,0,NA
SPBC14F5.13c ,chromosome2,-,4182792,4184524,NA,4184613,1732,NA,89
SPBC1539.01c ,chromosome2,-,4363050,4363682,4362975,4363750,632,75,68
SPBC1539.02,chromosome2,+,4364016,4365176,NA,NA,1160,NA,NA
SPBC1539.03c ,chromosome2,-,4365385,4366767,4365385,4366829,1382,0,62
SPBC1539.04,chromosome2,+,4368389,4369414,4368367,4369742,1025,22,328
SPBC1539.05 ,chromosome2,+,4370000,4372478,4370000,4372545,2478,0,67
SPBC1539.06 ,chromosome2,+,4372917,4373237,4372823,4373374,320,94,137
SPBC1539.07c ,chromosome2,-,4373675,4375075,4373428,4375075,1400,247,0
SPBC1539.08,chromosome2,+,4375857,4376810,4375736,4377001,953,121,191
SPBC1539.09c ,chromosome2,-,4377221,4379500,4377110,4379586,2279,111,86
SPBC1539.10 ,chromosome2,+,4380486,4381237,4380469,4381237,751,17,0
SPBC15C4.01c,chromosome2,-,2236526,2237638,2236456,2237778,1112,70,140
SPBC15C4.02,chromosome2,+,2238671,2240704,2238671,2240746,2033,0,42
SPBC15C4.03 ,chromosome2,+,2240916,2242344,2240916,2242349,1428,0,5
SPBC15C4.04c ,chromosome2,-,2242831,2244459,2242457,2244766,1628,374,307
SPBC15C4.05 ,chromosome2,+,2246723,2251009,2246366,2251252,4286,357,243
SPBC15C4.06c ,chromosome2,-,2251736,2253406,2251530,2253670,1670,206,264
SPBC15D4.01c ,chromosome2,-,3005679,3007753,3005582,3007778,2074,97,25
SPBC15D4.02 ,chromosome2,+,3013318,3014577,NA,3014990,1259,NA,413
SPBC15D4.03,chromosome2,+,3015538,3017961,3015483,3018005,2423,55,44
SPBC15D4.04,chromosome2,+,3018244,3019584,3018179,3019939,1340,65,355
SPBC15D4.05,chromosome2,+,3020853,3022088,3020757,3022088,1235,96,0
SPBC15D4.06 ,chromosome2,+,3022433,3022973,3022405,3023010,540,28,37
SPBC15D4.07c ,chromosome2,-,3023513,3025621,3023343,NA,2108,170,NA
SPBC15D4.08c,chromosome2,-,3025659,3026075,NA,NA,416,NA,NA
SPBC15D4.09c ,chromosome2,-,3026441,3028273,3026425,3028353,1832,16,80
SPBC15D4.10c,chromosome2,-,3028705,3030192,3028685,NA,1487,20,NA
SPBC15D4.11c,chromosome2,-,3030371,3031341,NA,3031431,970,NA,90
SPBC15D4.12c,chromosome2,-,3031750,3032129,NA,NA,379,NA,NA
SPBC15D4.13c,chromosome2,-,3032492,3033222,NA,NA,730,NA,NA
SPBC15D4.14,chromosome2,+,3033881,3035865,3033736,3035888,1984,145,23
SPBC15D4.15,chromosome2,+,3036128,3037110,3036101,3037155,982,27,45
SPBC1604.01 ,chromosome2,-,3930792,3933113,3930787,3933318,2321,5,205
SPBC1604.02c,chromosome2,+,3928423,3930516,3928201,3930732,2093,222,216
SPBC1604.03c,chromosome2,+,3927014,3928006,3926990,3928037,992,24,31
SPBC1604.04 ,chromosome2,-,3924320,3925310,3923965,3925400,990,355,90
SPBC1604.05 ,chromosome2,-,3921802,3923454,3921767,3923583,1652,35,129
SPBC1604.06c ,chromosome2,+,3920073,3921530,3920065,3921549,1457,8,19
SPBC1604.07 ,chromosome2,-,3918769,3919547,3918576,3919569,778,193,22
SPBC1604.08c,chromosome2,+,3916626,3918245,3916542,3918413,1619,84,168
SPBC1604.09c ,chromosome2,+,3914696,3915552,3914671,3915719,856,25,167
SPBC1604.10,chromosome2,-,3913050,3913612,3912855,NA,562,195,NA
SPBC1604.11 ,chromosome2,-,3912167,3912509,3911759,3912530,342,408,21
SPBC1604.12,chromosome2,-,3908893,3911475,3908679,3911537,2582,214,62
SPBC1604.13c ,chromosome2,+,3908138,3908449,3907854,3908622,311,284,173
SPBC1604.14c,chromosome2,+,3905082,3907058,3904608,3907357,1976,474,299
SPBC1604.15 ,chromosome2,-,3902420,3904057,3901253,3904553,1637,1167,496
SPBC1604.16c,chromosome2,+,3901632,3902231,NA,3902410,599,NA,179
SPBC1604.17c,chromosome2,+,3900047,3901542,3899988,NA,1495,59,NA
SPBC1604.18c ,chromosome2,+,3898096,3899549,3898065,3899603,1453,31,54
SPBC1604.19c ,chromosome2,+,3895410,3897386,3895371,3897514,1976,39,128
SPBC1604.20c,chromosome2,+,3893201,3895087,3893113,3895256,1886,88,169
SPBC1604.21c,chromosome2,+,3888696,3891900,3888696,3892010,3204,0,110
SPBC1604.25 ,chromosome2,+,3892255,3892574,NA,NA,319,NA,NA
SPBC1652.01,chromosome2,+,4253280,4254440,NA,NA,1160,NA,NA
SPBC1652.02 ,chromosome2,+,4256509,4258293,4256060,4259360,1784,449,1067
SPBC1677.02,chromosome2,+,3935144,3935481,3935133,3935481,337,11,0
SPBC1677.03c ,chromosome2,-,3935864,3937666,3935515,3937718,1802,349,52
SPBC1683.01 ,chromosome2,+,134303,136024,NA,136247,1721,NA,223
SPBC1683.02 ,chromosome2,+,137044,138063,NA,NA,1019,NA,NA
SPBC1683.03c ,chromosome2,-,138525,140084,138446,140263,1559,79,179
SPBC1683.04 ,chromosome2,+,142412,144910,142407,145156,2498,5,246
SPBC1683.05 ,chromosome2,+,148750,150429,148071,150437,1679,679,8
SPBC1683.06c ,chromosome2,-,151814,152746,NA,NA,932,NA,NA
SPBC1683.07,chromosome2,+,153562,155301,153461,155550,1739,101,249
SPBC1683.08,chromosome2,+,157555,159228,NA,159512,1673,NA,284
SPBC1683.09c,chromosome2,-,160461,162155,160446,162372,1694,15,217
SPBC1683.10c,chromosome2,-,164430,165158,163748,165287,728,682,129
SPBC1683.11c ,chromosome2,-,166792,168348,166550,168643,1556,242,295
SPBC1683.12 ,chromosome2,+,168671,170119,NA,NA,1448,NA,NA
SPBC1683.13c ,chromosome2,-,170167,172157,170167,172271,1990,0,114
SPBC1685.01,chromosome2,+,496813,497649,496550,NA,836,263,NA
SPBC1685.02c,chromosome2,-,498487,498990,498476,499026,503,11,36
SPBC1685.03 ,chromosome2,+,499374,500161,NA,500512,787,NA,351
SPBC1685.04,chromosome2,+,502873,503850,502711,504031,977,162,181
SPBC1685.05,chromosome2,+,505923,508916,NA,508981,2993,NA,65
SPBC1685.06,chromosome2,+,509502,510984,NA,NA,1482,NA,NA
SPBC1685.07c ,chromosome2,-,511204,512466,509972,512831,1262,1232,365
SPBC1685.08 ,chromosome2,+,514216,515704,514207,515910,1488,9,206
SPBC1685.09,chromosome2,+,516442,516735,516442,516790,293,0,55
SPBC1685.10,chromosome2,+,517344,517837,517344,517893,493,0,56
SPBC1685.11,chromosome2,+,518372,519463,518167,519543,1091,205,80
SPBC1685.12c,chromosome2,-,523887,524240,NA,NA,353,NA,NA
SPBC1685.13 ,chromosome2,+,526091,526642,525537,NA,551,554,NA
SPBC1685.14c,chromosome2,-,529453,531979,529002,532028,2526,451,49
SPBC1685.15c,chromosome2,-,532697,535091,532247,NA,2394,450,NA
SPBC1685.16 ,chromosome2,+,501695,501862,501281,502380,167,414,518
SPBC16A3.01,chromosome2,-,4299042,4300569,4298790,4300569,1527,252,0
SPBC16A3.02c ,chromosome2,+,4297584,4298627,4297416,4298851,1043,168,224
SPBC16A3.03c,chromosome2,+,4293597,4295573,4293290,4295935,1976,307,362
SPBC16A3.04 ,chromosome2,-,4291026,4291688,4290925,4291918,662,101,230
SPBC16A3.05c,chromosome2,+,4288945,4290472,4288945,4290762,1527,0,290
SPBC16A3.06 ,chromosome2,-,4287361,4288668,4287241,4288894,1307,120,226
SPBC16A3.07c,chromosome2,+,4286042,4287070,4285978,4288180,1028,64,1110
SPBC16A3.08c ,chromosome2,+,4283938,4285122,4283938,4285427,1184,0,305
SPBC16A3.09c ,chromosome2,+,4282154,4283513,4282073,4283556,1359,81,43
SPBC16A3.10 ,chromosome2,-,4279996,4281525,4279875,4281740,1529,121,215
SPBC16A3.11,chromosome2,-,4276973,4279591,4276956,4279591,2618,17,0
SPBC16A3.12c ,chromosome2,+,4275257,4276888,4275257,4277010,1631,0,122
SPBC16A3.13,chromosome2,-,4272341,4274665,NA,NA,2324,NA,NA
SPBC16A3.14 ,chromosome2,-,4271131,4271937,NA,4272005,806,NA,68
SPBC16A3.15c,chromosome2,+,4268991,4270448,4268991,4270685,1457,0,237
SPBC16A3.16 ,chromosome2,-,4267784,4268090,4267441,4268156,306,343,66
SPBC16A3.17c ,chromosome2,+,4265559,4267358,4265244,4267358,1799,315,0
SPBC16A3.18,chromosome2,-,4262473,4263945,4261944,4264033,1472,529,88
SPBC16A3.19 ,chromosome2,-,4260349,4261319,4259910,4261448,970,439,129
SPBC16C6.01c ,chromosome2,-,4320120,4321541,4320120,4321619,1421,0,78
SPBC16C6.02c ,chromosome2,-,4322829,4332028,NA,NA,9199,NA,NA
SPBC16C6.03c,chromosome2,-,4332698,4333123,NA,NA,425,NA,NA
SPBC16C6.04,chromosome2,+,4334150,4335202,4334049,4335205,1052,101,3
SPBC16C6.05 ,chromosome2,+,4335619,4336244,4335587,4336410,625,32,166
SPBC16C6.06 ,chromosome2,+,4337012,4341452,4337012,4341528,4440,0,76
SPBC16C6.07c ,chromosome2,-,4341801,4343368,4341639,4343368,1567,162,0
SPBC16C6.08c ,chromosome2,-,4344557,4345430,4344388,4345543,873,169,113
SPBC16C6.09,chromosome2,+,4346652,4348988,4346585,4349339,2336,67,351
SPBC16C6.10,chromosome2,+,4349995,4351174,4349614,4351207,1179,381,33
SPBC16C6.11,chromosome2,+,4351896,4352279,4351867,4352308,383,29,29
SPBC16C6.12c ,chromosome2,-,4352663,4354075,4352580,4354075,1412,83,0
SPBC16C6.13c ,chromosome2,-,4354568,4357020,4354232,4357145,2452,336,125
SPBC16C6.14,chromosome2,-,4322221,4322622,NA,NA,401,NA,NA
SPBC16D10.01c,chromosome2,-,3587478,3588488,3587313,3588633,1010,165,145
SPBC16D10.02 ,chromosome2,+,3588806,3590386,NA,NA,1580,NA,NA
SPBC16D10.03,chromosome2,+,3591166,3592246,3590998,3592318,1080,168,72
SPBC16D10.04c,chromosome2,-,3592359,3596692,3592319,3596935,4333,40,243
SPBC16D10.05,chromosome2,+,3597571,3604687,NA,3604687,7116,NA,0
SPBC16D10.06,chromosome2,+,3607890,3609116,3607717,3609255,1226,173,139
SPBC16D10.07c,chromosome2,-,3609646,3611556,3609588,3611624,1910,58,68
SPBC16D10.08c ,chromosome2,-,3612359,3615076,3612339,3615254,2717,20,178
SPBC16D10.09,chromosome2,+,3616685,3617578,3616628,3617730,893,57,152
SPBC16D10.10 ,chromosome2,+,3618117,3619540,NA,NA,1423,NA,NA
SPBC16D10.11c,chromosome2,-,3619838,3620448,3619817,3620477,610,21,29
SPBC16E9.01c,chromosome2,-,1915850,1916737,1915640,1917400,887,210,663
SPBC16E9.02c ,chromosome2,-,1918161,1920173,1918006,1920373,2012,155,200
SPBC16E9.03c,chromosome2,-,1920763,1921512,1920541,1921745,749,222,233
SPBC16E9.05 ,chromosome2,+,1923986,1925122,1923622,1925493,1136,364,371
SPBC16E9.06c,chromosome2,-,1925686,1925994,NA,1926201,308,NA,207
SPBC16E9.07,chromosome2,+,1927140,1928081,1926374,1928346,941,766,265
SPBC16E9.08,chromosome2,+,1928803,1929870,NA,NA,1067,NA,NA
SPBC16E9.09c ,chromosome2,-,1930512,1931324,1929995,1931324,812,517,0
SPBC16E9.10c ,chromosome2,-,1931899,1934401,1931875,1934401,2502,24,0
SPBC16E9.11c,chromosome2,-,1935777,1938479,1934838,1938581,2702,939,102
SPBC16E9.12c,chromosome2,-,1940094,1940756,1939401,1940776,662,693,20
SPBC16E9.13,chromosome2,+,1943227,1944651,1942648,1944853,1424,579,202
SPBC16E9.14c,chromosome2,-,1945162,1946322,1944955,1946392,1160,207,70
SPBC16E9.15 ,chromosome2,+,1946978,1947375,1946887,1947818,397,91,443
SPBC16E9.16c,chromosome2,-,1947985,1950255,NA,NA,2270,NA,NA
SPBC16E9.17c,chromosome2,-,1953419,1954712,NA,NA,1293,NA,NA
SPBC16E9.18 ,chromosome2,+,1955709,1957022,1955627,1957276,1313,82,254
SPBC16E9.19,chromosome2,+,1921868,1922173,1921533,1923066,305,335,893
SPBC16G5.01,chromosome2,+,4215006,4215869,4214973,4216075,863,33,206
SPBC16G5.02c ,chromosome2,-,4216147,4217103,4215960,4217335,956,187,232
SPBC16G5.03 ,chromosome2,+,4218674,4219480,4218490,4219537,806,184,57
SPBC16G5.04 ,chromosome2,+,4219903,4220418,4219755,4220530,515,148,112
SPBC16G5.05c ,chromosome2,-,4220945,4222366,4220639,4222564,1421,306,198
SPBC16G5.06,chromosome2,+,4223177,4223869,4222780,4223936,692,397,67
SPBC16G5.07c,chromosome2,-,4224140,4225342,4224045,4225644,1202,95,302
SPBC16G5.08 ,chromosome2,+,4227286,4228350,4226799,4228555,1064,487,205
SPBC16G5.09 ,chromosome2,+,4228817,4230463,4228779,4230704,1646,38,241
SPBC16G5.10 ,chromosome2,+,4231953,4232949,4231953,4233010,996,0,61
SPBC16G5.11c,chromosome2,-,4233197,4233784,4232683,4233948,587,514,164
SPBC16G5.12c,chromosome2,-,4233935,4236137,NA,4236257,2202,NA,120
SPBC16G5.13,chromosome2,+,4237222,4237602,4237029,4237634,380,193,32
SPBC16G5.14c,chromosome2,-,4238325,4239326,4238294,4239336,1001,31,10
SPBC16G5.15c,chromosome2,-,4240442,4242662,4239940,4242695,2220,502,33
SPBC16G5.16 ,chromosome2,+,4244000,4246860,4243792,4247092,2860,208,232
SPBC16G5.17 ,chromosome2,+,4247818,4249500,4247589,4249678,1682,229,178
SPBC16G5.18,chromosome2,+,4250067,4251341,4250005,4251385,1274,62,44
SPBC16G5.19,chromosome2,+,4251907,4252224,NA,NA,317,NA,NA
SPBC16H5.02,chromosome2,-,2297466,2300294,2297239,2300422,2828,227,128
SPBC16H5.03c ,chromosome2,+,2295031,2297089,2295031,2297183,2058,0,94
SPBC16H5.04 ,chromosome2,-,2293393,2294125,NA,NA,732,NA,NA
SPBC16H5.05c,chromosome2,+,2291578,2293141,2291571,2293162,1563,7,21
SPBC16H5.06,chromosome2,-,2289372,2290058,2289153,2290083,686,219,25
SPBC16H5.07c,chromosome2,+,2287017,2288277,2286945,2288761,1260,72,484
SPBC16H5.08c ,chromosome2,+,2284377,2286345,2284367,2286396,1968,10,51
SPBC16H5.09c ,chromosome2,+,2282566,2283827,2282443,2283923,1261,123,96
SPBC16H5.10c ,chromosome2,+,2279763,2281970,2279742,2282163,2207,21,193
SPBC16H5.11c,chromosome2,+,2277215,2279247,2277215,2279364,2032,0,117
SPBC16H5.12c,chromosome2,+,2274403,2276707,2274029,2276999,2304,374,292
SPBC16H5.13,chromosome2,-,2269573,2272776,2269461,2272869,3203,112,93
SPBC16H5.14c,chromosome2,+,2268602,2269567,2268475,2270066,965,127,499
SPBC16H5.15,chromosome2,-,2290803,2291303,2290640,2291347,500,163,44
SPBC1703.01c ,chromosome2,-,2914870,2915595,2914828,2915714,725,42,119
SPBC1703.02 ,chromosome2,+,2916272,2918667,2916263,2918785,2395,9,118
SPBC1703.03c,chromosome2,-,2918968,2921047,2918847,2921047,2079,121,0
SPBC1703.04 ,chromosome2,+,2921241,2923535,2921241,2923535,2294,0,0
SPBC1703.05 ,chromosome2,+,2924037,2925201,2923910,2925277,1164,127,76
SPBC1703.06,chromosome2,+,2925512,2927554,2925512,2927698,2042,0,144
SPBC1703.07 ,chromosome2,+,2928014,2930172,2928014,2930344,2158,0,172
SPBC1703.08c ,chromosome2,-,2930386,2931189,NA,NA,803,NA,NA
SPBC1703.09,chromosome2,+,2931763,2932419,2931660,2932535,656,103,116
SPBC1703.10,chromosome2,+,2932989,2934041,2932983,2934193,1052,6,152
SPBC1703.11,chromosome2,+,2934982,2935821,2934743,2935953,839,239,132
SPBC1703.12 ,chromosome2,+,2936211,2938118,2936173,2938651,1907,38,533
SPBC1703.13c ,chromosome2,-,2940031,2940966,2939962,2941229,935,69,263
SPBC1703.14c,chromosome2,-,2942037,2944580,2941840,2944586,2543,197,6
SPBC1703.15c,chromosome2,-,2945166,2947080,2945136,2947120,1914,30,40
SPBC1706.01,chromosome2,+,588765,591194,588348,591260,2429,417,66
SPBC1706.02c,chromosome2,-,593188,593575,NA,NA,387,NA,NA
SPBC1706.03 ,chromosome2,+,594472,596748,594395,597036,2276,77,288
SPBC1709.01,chromosome2,+,1095358,1098185,1095282,NA,2827,76,NA
SPBC1709.02c ,chromosome2,-,1098300,1101472,1098255,1101500,3172,45,28
SPBC1709.03,chromosome2,+,1102449,1103683,1102325,1103699,1234,124,16
SPBC1709.04c,chromosome2,-,1103770,1104607,1103699,1104686,837,71,79
SPBC1709.05,chromosome2,+,1106456,1108297,1106447,1108481,1841,9,184
SPBC1709.06 ,chromosome2,+,1108728,1110446,1108700,1110462,1718,28,16
SPBC1709.07 ,chromosome2,+,1110890,1112001,1110890,1112223,1111,0,222
SPBC1709.08,chromosome2,+,1113339,1117664,1113323,1117670,4325,16,6
SPBC1709.09 ,chromosome2,+,1118561,1119295,1118492,1119315,734,69,20
SPBC1709.10c ,chromosome2,-,1119852,1120181,1119485,1120308,329,367,127
SPBC1709.11c,chromosome2,-,1120945,1121949,1120750,1121959,1004,195,10
SPBC1709.12 ,chromosome2,+,1122828,1124137,1122828,1124653,1309,0,516
SPBC1709.13c ,chromosome2,-,1124444,1126087,1124433,1126087,1643,11,0
SPBC1709.14 ,chromosome2,+,1126628,1127840,1126358,1127896,1212,270,56
SPBC1709.15c ,chromosome2,-,1127969,1130425,1127954,1130425,2456,15,0
SPBC1709.16c,chromosome2,-,1130896,1132036,1130700,1132298,1140,196,262
SPBC1709.17 ,chromosome2,+,1132170,1134042,1132170,1134114,1872,0,72
SPBC1709.18,chromosome2,+,1134499,1135377,1134444,1135595,878,55,218
SPBC1709.19c ,chromosome2,-,1136807,1137589,1136696,1137744,782,111,155
SPBC1709.20 ,chromosome2,+,1112735,1113159,NA,NA,424,NA,NA
SPBC1711.01c,chromosome2,-,2132586,2132714,NA,NA,128,NA,NA
SPBC1711.02,chromosome2,+,2132849,2133394,NA,NA,545,NA,NA
